"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"bglF_2",174.375392743787,3.30915885918437,0.24219479233477,13.6632122734098,1.68388563032562e-42,4.38249061443053e-42
"ohrB_1",9621.22484274493,3.2929526517265,0.092482150540764,35.6063589835645,1.11691220468383e-277,1.14411904043895e-276
"acyP",2471.90522672495,3.27107086564049,0.0793852359379943,41.2050279499759,0,0
"dcuR",351.109958909543,3.26471417371503,0.162410553596209,20.1016134815468,7.14330097065451e-90,2.94200900801699e-89
"argS",105326.698495863,3.25250731186371,0.0508502914605561,63.9624123764686,0,0
"pfkB",50.9546200456552,3.2435409249436,0.408635766926316,7.93748660167692,2.06319323733611e-15,3.6310383185717e-15
"manZ_7",837.695975209936,3.1865055482103,0.109642309418614,29.0627365029701,1.06235385166284e-185,7.68163554279284e-185
"malF",79.6151750557582,3.17706660853388,0.313786840833719,10.124919834409,4.28329582902519e-24,8.85473057539748e-24
"tuf_2",35918.9368179673,3.07956376993827,0.0685896587818726,44.8983684221529,0,0
"adeC",4205.64509142758,3.05722071342812,0.0663516792588489,46.076011151148,0,0
"gap_1",28304.3501710399,3.01186084276196,0.0499850481151907,60.2552354420289,0,0
"dapA",4133.04475575304,3.00024563482587,0.0762649247942771,39.3397835626137,0,0
"feoB",1908.00414475634,2.98620052361231,0.0925491366248055,32.2661089289075,2.09120718247717e-228,1.7314762060096e-227
"ypdA_2",723.855319451426,2.95331044571504,0.134084670535675,22.0257128120345,1.63319765539109e-107,7.67602898033813e-107
"gatB_1",7.44855710574161,2.87742491708132,1.00108196457191,2.87431501007191,0.00404904891176761,0.0051108848033212
"pepC",11603.7906709215,2.83393116689433,0.0588796349524442,48.1309228425624,0,0
"xpkA_1",1956.78012932752,2.79476572090585,0.0773061573252897,36.1519161940233,3.47130069642793e-286,3.67360166416678e-285
"lsrC_2",3014.8019640123,2.79330284952163,0.0664089562585396,42.0621405138021,0,0
"dapB",2690.54359907994,2.78007240995943,0.0807891852874772,34.4114425720091,1.70033609343637e-259,1.63682956464537e-258
"xpkA_2",4167.64557938952,2.76644627008838,0.0639628564027036,43.2508243951946,0,0
"pemK",7741.10013361081,2.75719482578479,0.0728163518359723,37.8650503117172,0,0
"gdhIV",6008.61198828969,2.73584607174231,0.0704193015516562,38.8507981683889,0,0
"rex_2",663.746920797178,2.70583176349342,0.120165817369263,22.5174831140086,2.79815849835461e-112,1.38007940752181e-111
"brnQ_1",13423.0763251531,2.70425496168206,0.0541712991868852,49.9204376168396,0,0
"bbmA",76.0006316559999,2.69959517117469,0.292348642473811,9.23416352588855,2.60311922789713e-20,5.04828219196555e-20
"ndk",5088.39814734805,2.67886970677393,0.0634527182602973,42.2183600674852,0,0
"xpkA_3",1037.38958403834,2.61914008216749,0.0912681699825335,28.6971907365813,4.13597270097177e-181,2.89880893690916e-180
"asd",4633.51228919045,2.61323580498086,0.0727482027405077,35.9216545088029,1.40278530655328e-282,1.46513132017787e-281
"luxA",759.125201510778,2.60599991794214,0.1359573567948,19.1677742152296,6.87896442627346e-82,2.68111833004512e-81
"hpf",39818.5618513057,2.59678349275614,0.0567970629290819,45.7203833937424,0,0
"yvgN",11588.2331132737,2.56106336816322,0.0595613317385823,42.9987593192822,0,0
"ptsG_3",32.5410519658132,2.53021258366286,0.413906182175904,6.11300988635043,9.77693115309544e-10,1.54078264128664e-09
"trxA_2",359.650864144232,2.52223633163607,0.174970767714896,14.4151869742373,4.15312955030688e-47,1.13254283641474e-46
"dapH",2872.63912477322,2.51246120871337,0.0840040453515443,29.9088121077871,1.51149326422835e-196,1.11307199826585e-195
"yxeP",4052.92101941803,2.47999640456986,0.07108213970612,34.8891636467766,1.08543114124695e-266,1.07069071834113e-265
"cmpD",4539.63882983581,2.47055289696606,0.0633943694217245,38.9711723533516,0,0
"mgsA",711.90328798001,2.47024619553171,0.100582078221228,24.5595064172214,3.4232766858961e-133,1.91943724353051e-132
"licH",949.734422252427,2.46378770807024,0.097340964919386,25.3109028671604,2.42301988378859e-141,1.4235241817258e-140
"glvR",40.4445933029056,2.45996746716073,0.390458770329154,6.30019775221591,2.97266139859779e-10,4.77418383412992e-10
"crtK-2",3796.93519643846,2.45542721713735,0.0695232647779929,35.3180654702884,3.10145098350605e-273,3.11705576832872e-272
